,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Conduit
14,673.808794,892.407665,746.249744,838.182938,847.429241,820.057866,1224.57858,948.134325,766.174395,714.829021,638.242944,1043.814598,772.279103,1559.974675,1698.071623,1444.786698,1477.658215,1477.341214,1186.310543,1398.006482,1395.00084,1138.191313,1323.200857,1332.569691,1328.271719,1224.008148,1147.70657,1273.359309,1628.096338,1570.539102,Sk-0
15,838.182938,847.429241,820.057866,1224.57858,948.134325,766.174395,714.829021,638.242944,1043.814598,772.279103,1559.974675,1698.071623,1444.786698,1477.658215,1477.341214,1186.310543,1398.006482,1395.00084,1138.191313,1323.200857,1332.569691,1328.271719,1224.008148,1147.70657,1273.359309,1628.096338,1570.539102,1725.203924,1642.375681,1570.584216,Sk-0
16,1224.57858,948.134325,766.174395,714.829021,638.242944,1043.814598,772.279103,1559.974675,1698.071623,1444.786698,1477.658215,1477.341214,1186.310543,1398.006482,1395.00084,1138.191313,1323.200857,1332.569691,1328.271719,1224.008148,1147.70657,1273.359309,1628.096338,1570.539102,1725.203924,1642.375681,1570.584216,1445.219822,1304.074096,1435.045935,Sk-0
17,714.829021,638.242944,1043.814598,772.279103,1559.974675,1698.071623,1444.786698,1477.658215,1477.341214,1186.310543,1398.006482,1395.00084,1138.191313,1323.200857,1332.569691,1328.271719,1224.008148,1147.70657,1273.359309,1628.096338,1570.539102,1725.203924,1642.375681,1570.584216,1445.219822,1304.074096,1435.045935,1324.345181,1458.952537,1592.550344,Sk-0
18,772.279103,1559.974675,1698.071623,1444.786698,1477.658215,1477.341214,1186.310543,1398.006482,1395.00084,1138.191313,1323.200857,1332.569691,1328.271719,1224.008148,1147.70657,1273.359309,1628.096338,1570.539102,1725.203924,1642.375681,1570.584216,1445.219822,1304.074096,1435.045935,1324.345181,1458.952537,1592.550344,1678.47088,1431.42602,1542.284587,Sk-0
19,1444.786698,1477.658215,1477.341214,1186.310543,1398.006482,1395.00084,1138.191313,1323.200857,1332.569691,1328.271719,1224.008148,1147.70657,1273.359309,1628.096338,1570.539102,1725.203924,1642.375681,1570.584216,1445.219822,1304.074096,1435.045935,1324.345181,1458.952537,1592.550344,1678.47088,1431.42602,1542.284587,1613.709022,1637.932821,1749.108234,Sk-0
20,1186.310543,1398.006482,1395.00084,1138.191313,1323.200857,1332.569691,1328.271719,1224.008148,1147.70657,1273.359309,1628.096338,1570.539102,1725.203924,1642.375681,1570.584216,1445.219822,1304.074096,1435.045935,1324.345181,1458.952537,1592.550344,1678.47088,1431.42602,1542.284587,1613.709022,1637.932821,1749.108234,1747.589168,839.069053,2479.677424,Sk-0
21,1138.191313,1323.200857,1332.569691,1328.271719,1224.008148,1147.70657,1273.359309,1628.096338,1570.539102,1725.203924,1642.375681,1570.584216,1445.219822,1304.074096,1435.045935,1324.345181,1458.952537,1592.550344,1678.47088,1431.42602,1542.284587,1613.709022,1637.932821,1749.108234,1747.589168,839.069053,2479.677424,2544.755032,2461.773604,2453.376255,Sk-0
22,1328.271719,1224.008148,1147.70657,1273.359309,1628.096338,1570.539102,1725.203924,1642.375681,1570.584216,1445.219822,1304.074096,1435.045935,1324.345181,1458.952537,1592.550344,1678.47088,1431.42602,1542.284587,1613.709022,1637.932821,1749.108234,1747.589168,839.069053,2479.677424,2544.755032,2461.773604,2453.376255,2291.629207,2234.260183,2131.30553,Sk-0
23,1273.359309,1628.096338,1570.539102,1725.203924,1642.375681,1570.584216,1445.219822,1304.074096,1435.045935,1324.345181,1458.952537,1592.550344,1678.47088,1431.42602,1542.284587,1613.709022,1637.932821,1749.108234,1747.589168,839.069053,2479.677424,2544.755032,2461.773604,2453.376255,2291.629207,2234.260183,2131.30553,2171.432669,2173.792824,2327.438809,Sk-0
